Barcode ▲,Asset Type,Asset Age,Installation Date,Risk Score,Risk Rating,Asset Condition,Asset Repair Category,Environmental Rating,Impact Rating,Room Code,Site,Building Name,Manager Name,View
1000000,Room Air Conditioners,5,2019-02-03,85,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,NICB-001,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000001,Water Booster Pumps,5,2018-12-22,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,5. Severe,COP-001,Cavendish Campus,Copland,Daniel Martinez,View
1000206,Sewage or Drainage Pumps Submersible,4,2019-08-08,56,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,4. Significant,CAV-SC-005,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000207,Sewage or Drainage Pumps Submersible,11,2012-12-22,35,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,4. Significant,CAV-SC-006,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000208,Ventilating Fans - General,17,2006-08-14,58,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,2. Minor,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000209,Meter Reading - Water,7,2017-01-29,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,CAV-SC-005,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000210,Meter Reading - Water,8,2015-11-18,72,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,CAV-SC-005,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000211,Meter Reading - Water,17,2007-04-26,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,CAV-SC-005,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000212,Ventilating Fans - General,18,2005-09-16,53,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000213,Sewage or Drainage Pumps Submersible,11,2012-06-30,44,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,CAV-SC-001,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000214,Ventilating Fans - General,3,2020-08-30,56,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000215,Speed Controllers,6,2018-01-18,52,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000216,Room Air Conditioners,2,2022-01-19,61,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,3. Moderate,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000217,Room Air Conditioners,14,2010-01-13,57,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,3. Moderate,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000218,Air Handling Units - General,16,2007-06-06,43,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000219,Ventilating Fans - General,4,2020-02-18,60,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,2. Minor,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000220,Ventilating Fans - General,20,2004-03-07,38,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,2. Minor,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000221,Ventilating Fans - General,6,2018-04-10,44,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,2. Minor,RT-003,Regent Campus,309 Regent Street,Andrew Wright,View
1000222,Ventilating Fans - General,6,2018-02-01,80,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,2. Minor,RT-003,Regent Campus,309 Regent Street,Andrew Wright,View
1000223,Ventilating Fans - General,12,2011-09-08,73,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,RT-003,Regent Campus,309 Regent Street,Andrew Wright,View
1000224,Air Handling Units - General,8,2016-01-14,80,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000225,Air Handling Units - General,3,2021-03-06,85,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000226,Water Buffer/Surge Tanks,22,2001-11-28,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000227,Ventilating Fans - General,2,2021-11-27,78,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,RT-004,Regent Campus,309 Regent Street,Andrew Wright,View
1000228,Solenoid Gas/Oil Shut-off (Safety) Valves,7,2016-09-25,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,5. Severe,RT-005,Regent Campus,309 Regent Street,Andrew Wright,View
1000229,Packaged Chiller Units,7,2016-05-22,56,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,4. Significant,RT-005,Regent Campus,309 Regent Street,Andrew Wright,View
1000230,Packaged Chiller Units,15,2008-07-06,60,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,4. Significant,RT-005,Regent Campus,309 Regent Street,Andrew Wright,View
1000231,Ventilating Fans - General,8,2016-02-17,62,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000232,Ventilating Fans - General,18,2006-03-04,50,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,2. Minor,RT-003,Regent Campus,309 Regent Street,Andrew Wright,View
1000233,Ventilating Fans - General,14,2010-04-25,54,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,2. Minor,RT-003,Regent Campus,309 Regent Street,Andrew Wright,View
1000234,Cable and Track/Rail Based Safety Systems,2,2022-01-04,84,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000235,Cable and Track/Rail Based Safety Systems,4,2019-06-05,80,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000236,Air Handling Units - General,1,2023-03-23,59,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000237,Ventilating Fans - General,8,2015-07-30,67,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,2. Minor,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000238,Sump Pumps and Extended Shaft Sump Pumps,2,2021-11-24,76,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,5. Severe,CAV-SC-007,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000239,Sump Pumps and Extended Shaft Sump Pumps,2,2021-07-27,81,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,5. Severe,CAV-SC-007,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000240,Room Air Conditioners,11,2013-03-12,85,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,3. Moderate,CAV-EXT-001,Cavendish Campus,Cavendish Extension,Daniel Martinez,View
1000241,Room Air Conditioners,8,2016-03-18,71,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,3. Moderate,CAV-EXT-001,Cavendish Campus,Cavendish Extension,Daniel Martinez,View
1000242,Fixed Access Ladders and Stairs,9,2014-05-18,68,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,3. Moderate,CAV-SC-008,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000243,Room Air Conditioners,1,2023-01-28,86,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,3. Moderate,CAV-EXT-001,Cavendish Campus,Cavendish Extension,Daniel Martinez,View
1000244,Room Air Conditioners,6,2017-08-07,73,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,3. Moderate,CAV-EXT-001,Cavendish Campus,Cavendish Extension,Daniel Martinez,View
1000245,Ventilating Fans - General,11,2012-06-03,54,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000246,Roof and Canopy Fall Protection Systems,5,2018-09-22,93,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,5. Severe,CAV-EXT-001,Cavendish Campus,Cavendish Extension,Daniel Martinez,View
1000247,Instantaneous Electric Water Heaters (Non Drinks Type),3,2020-10-17,88,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,3. Moderate,RT-006,Regent Campus,309 Regent Street,Andrew Wright,View
1000248,Cold Water Storage Tanks and Cisterns,3,2021-04-05,92,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,3,3. Moderate,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000249,Sewage or Drainage Pumps Submersible,9,2015-01-01,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000250,Sewage or Drainage Pumps Submersible,6,2017-07-31,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,4. Significant,NRF-010,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000251,Solenoid Gas/Oil Shut-off (Safety) Valves,7,2016-11-13,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,5. Severe,COP-008,Cavendish Campus,Copland,Daniel Martinez,View
1000252,Emergency eye wash station (Plumbed System),9,2015-04-04,58,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,NRF-011,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000253,Emergency eye wash station (Plumbed System),0,2023-05-03,74,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,NICB-005,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000254,Ventilating Fans - General,8,2015-05-07,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000255,Ventilating Fans - General,3,2021-04-16,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000256,Emergency eye wash station (Plumbed System),6,2017-08-11,75,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,NICB-006,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000257,Ventilating Fans - General,18,2005-05-05,53,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000258,Ventilating Fans - General,19,2004-05-23,52,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000259,Emergency eye wash station (Plumbed System),3,2021-01-10,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,NICB-007,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000260,Ventilating Fans - General,11,2012-12-30,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000261,Ventilating Fans - General,2,2021-12-06,76,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000262,Ventilating Fans - General,13,2011-01-19,71,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000263,Ventilating Fans - General,10,2013-12-30,68,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000264,Emergency eye wash station (Plumbed System),5,2018-10-22,67,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,NICB-008,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000265,Ventilating Fans - General,2,2022-04-06,82,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000266,Ventilating Fans - General,2,2021-08-09,75,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000267,Ventilating Fans - General,20,2004-01-07,58,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000268,Ventilating Fans - General,15,2008-11-18,69,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000269,Ventilating Fans - General,8,2015-07-12,69,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000270,Ventilating Fans - General,10,2013-08-23,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000271,Ventilating Fans - General,15,2009-01-14,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000272,Ventilating Fans - General,4,2019-10-10,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000273,Ventilating Fans - General,16,2007-06-29,55,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000274,Ventilating Fans - General,18,2005-07-15,53,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000275,Ventilating Fans - General,4,2019-12-29,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000276,Ventilating Fans - General,3,2020-11-02,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000277,Ventilating Fans - General,10,2013-08-25,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000278,Ventilating Fans - General,7,2016-09-14,64,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000279,Ventilating Fans - General,8,2015-10-09,64,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000280,Ventilating Fans - General,14,2009-05-12,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000281,Ventilating Fans - General,17,2006-06-04,54,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000282,Ventilating Fans - General,1,2022-06-07,82,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,2. Minor,NICB-009,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000283,Fixed Access Ladders and Stairs,4,2019-07-06,67,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,NICB-010,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000284,Fixed Access Ladders and Stairs,0,2023-05-13,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,NICB-011,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000285,Ventilating Fans - General,12,2011-08-24,77,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,2. Minor,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000286,Sewage or Drainage Pumps Submersible,2,2021-07-12,86,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,4. Significant,NICB-012,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000287,Sewage or Drainage Pumps Submersible,4,2019-10-16,84,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,NICB-012,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000288,Sewage or Drainage Pumps Submersible,5,2019-03-12,89,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,4. Significant,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000289,Sewage or Drainage Pumps Submersible,12,2011-06-14,79,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,4. Significant,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000290,Sewage or Drainage Pumps Submersible,5,2019-03-08,83,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,4. Significant,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000291,Cable and Track/Rail Based Safety Systems,6,2017-08-24,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000292,Cable and Track/Rail Based Safety Systems,6,2017-06-08,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000293,Cable and Track/Rail Based Safety Systems,9,2014-05-10,59,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000294,Ventilating Fans - General,10,2013-11-03,48,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,2. Minor,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000295,Room Air Conditioners,2,2021-05-10,72,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000296,Room Air Conditioners,2,2021-07-23,72,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000297,Room Air Conditioners,1,2022-12-30,74,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000298,Fixed Access Ladders and Stairs,2,2021-09-01,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000299,Air Handling Units - General,10,2013-07-15,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000300,Room Air Conditioners,11,2012-12-26,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
